City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,zimovniki,47.1483,42.4633,30.59,31,36,3.16,RU,1691166955
384,kalmunai,7.4167,81.8167,28.36,78,94,1.85,LK,1691166912
385,hirara,24.8,125.2833,27.15,100,75,6.17,JP,1691166956
386,chiredzi,-21.05,31.6667,17.64,51,41,2.32,ZW,1691166956
387,hovd,48.0056,91.6419,20.89,39,4,0.89,MN,1691166956
388,udachny,66.4167,112.4,9.14,93,100,4.03,RU,1691166956
389,horta,38.5333,-28.6333,25.57,70,20,6.69,PT,1691166956
390,entebbe,0.0644,32.4469,23.18,73,20,5.66,UG,1691166957
391,drawsko pomorskie,53.5306,15.8097,20.04,73,93,2.33,PL,1691166957
392,san antonio de pale,-1.4014,5.6325,22.84,77,43,4.13,GQ,1691166957
393,puerto lempira,15.2667,-83.7667,31.08,66,40,4.12,HN,1691166957
394,colonia,50.9333,6.95,21.65,67,40,5.14,DE,1691166957
395,kenai,60.5544,-151.2583,13.05,82,0,3.09,US,1691166958
396,sebring,27.4956,-81.4409,34.26,67,0,3.09,US,1691166911
397,caleta de carquin,-11.0925,-77.6267,21.25,67,11,5.07,PE,1691166958
398,eirunepe,-6.6603,-69.8736,35.96,33,0,1.56,BR,1691166958
399,kuressaare,58.2481,22.5039,19.97,87,40,7.6,EE,1691166958
400,tome acu,-2.4189,-48.1522,36.2,34,15,1.52,BR,1691166959
401,dahab,28.501,34.5134,35.08,25,0,3.37,EG,1691166959
402,beaufort west,-32.3567,22.583,17.49,42,97,1.98,ZA,1691166959
403,richards bay,-28.783,32.0377,19.61,71,20,6.77,ZA,1691166959
404,happy valley-goose bay,53.3168,-60.3315,20.17,64,75,4.63,CA,1691166959
405,sigaboy,6.6541,126.0727,27.27,85,62,3.14,PH,1691166960
406,barabai,-2.5833,115.3833,24.01,87,5,0.8,ID,1691166960
407,akjoujt,19.6969,-14.4164,44.29,7,5,5.51,MR,1691166960
408,quepos,9.4236,-84.1652,30.08,71,22,2.3,CR,1691166960
409,santa maria,-29.6842,-53.8069,19.61,77,20,2.57,BR,1691166681
410,kas,36.2018,29.6377,30.92,53,0,4.29,TR,1691166961
411,bebedouro,-20.9494,-48.4792,30.59,20,0,1.06,BR,1691166940
412,howard springs,-12.497,131.047,25.95,48,77,2.64,AU,1691166962
413,gadzhiyevo,69.2551,33.3362,20.22,69,99,6.74,RU,1691166795
414,thunder bay,48.4001,-89.3168,21.99,64,20,3.09,CA,1691166676
415,niebull,54.7866,8.8285,17.98,69,78,6.55,DE,1691166962
416,port mathurin,-19.6833,63.4167,23.25,76,14,11.17,MU,1691166963
417,sinop,41.7711,34.8709,19.84,82,0,1.97,TR,1691166963
418,marsh harbour,26.5412,-77.0636,29.07,69,26,4.5,BS,1691166923
419,geraldton,-28.7667,114.6,6.23,93,1,2.06,AU,1691166682
420,zaozersk,69.4005,32.4476,19.91,77,98,3.84,RU,1691166964
421,kandahar,31.0,65.75,31.37,8,0,5.01,AF,1691166964
422,lat yao,15.751,99.7893,25.99,72,100,3.13,TH,1691166964
423,uige,-7.6087,15.0613,27.28,21,2,1.67,AO,1691166965
424,adana,36.985,35.2881,31.29,74,20,4.63,TR,1691166762
425,la passe,45.5549,-0.8967,21.13,60,48,7.77,FR,1691166965
426,kirov,58.5966,49.6601,21.04,69,80,1.92,RU,1691166965
427,gurupi,-11.7292,-49.0686,38.19,18,30,0.61,BR,1691166965
428,melfort,52.8667,-104.6177,20.07,68,27,4.12,CA,1691166966
429,oak harbor,48.2932,-122.6432,22.28,85,40,4.63,US,1691166966
430,gobabis,-22.45,18.9667,18.19,26,2,3.13,NA,1691166966
431,selma,36.5708,-119.6121,29.24,68,0,3.6,US,1691166966
432,trevelin,-43.0858,-71.4639,8.71,72,78,2.27,AR,1691166966
433,sierra grande,-41.606,-65.3557,13.22,26,1,9.49,AR,1691166967
434,ulaangom,49.9811,92.0667,18.67,61,100,1.58,MN,1691166967
435,refahiye,39.9008,38.7667,18.85,58,0,3.09,TR,1691166967
436,santa rosa,14.3122,121.1114,27.99,93,100,5.38,PH,1691166967
437,sayansk,54.1088,102.1648,17.18,91,100,1.37,RU,1691166967
438,chita,52.0333,113.55,8.94,93,18,1.0,RU,1691166744
439,patnanungan,14.7833,122.1833,28.37,80,100,9.86,PH,1691166968
440,show low,34.2542,-110.0298,28.34,18,0,0.45,US,1691166968
441,ustyuzhna,58.8394,36.4321,20.06,76,13,2.48,RU,1691166968
442,isla mujeres,21.2311,-86.731,32.03,71,18,3.72,MX,1691166969
443,luanda,-8.8368,13.2343,24.0,73,7,6.17,AO,1691166709
